id,url,owner_id,name,description,language,created_at,forked_from,deleted,updated_at,forked_commit_id
18119,https://api.github.com/repos/mantidproject/mantid,61750,mantid,Main repository for Mantid code,C++,2011-10-17 19:07:38,,f,2019-05-31 11:29:35,
15704905,https://api.github.com/repos/arangodb/arangodb,2599959,arangodb,"ArangoDB is a native multi-model database with flexible data models for documents, graphs, and key-values. Build high performance applications using a convenient SQL-like query language or JavaScript extensions.",C++,2011-10-26 06:42:00,,f,2019-05-31 17:21:37,
3086778,https://api.github.com/repos/loomio/loomio,1601711,loomio,Loomio is an open-source web application that helps groups make better decisions together.,Ruby,2011-11-08 03:27:12,,f,2019-05-31 18:15:25,
3105682,https://api.github.com/repos/camptocamp/c2cgeoportal,6270,c2cgeoportal,c2cgeoportal application,Python,2011-12-07 13:42:59,,f,2019-05-31 19:02:05,
392,https://api.github.com/repos/adobe/brackets,2997,brackets,"An open source code editor for the web, written in JavaScript, HTML and CSS.",JavaScript,2011-12-07 21:14:40,,f,2019-05-31 23:32:12,
7402,https://api.github.com/repos/wiredtiger/wiredtiger,30708,wiredtiger,WiredTiger's source tree,C,2011-12-09 00:43:19,,f,2019-05-31 06:37:56,
8956121,https://api.github.com/repos/Azure/azure-sdk-for-node,3681780,azure-sdk-for-node,Azure SDK for Node.js,JavaScript,2011-12-09 23:38:42,,f,2019-05-30 13:19:20,
44967,https://api.github.com/repos/nuxeo/nuxeo,33180,nuxeo,Content management platform to build modern business applications,Java,2011-12-15 14:35:41,,f,2019-05-31 09:06:49,
5622166,https://api.github.com/repos/freedomofpress/securedrop,2647179,securedrop,GitHub repository for the SecureDrop whistleblower platform. Do not submit tips here!,Python,2012-01-11 19:57:55,,f,2019-05-31 15:23:31,
27903,https://api.github.com/repos/kaltura/mwEmbed,86801,mwEmbed,Kaltura's Cross Platform Video Player ToolKit ,JavaScript,2012-02-08 15:44:27,,f,2019-05-30 09:41:41,
2831,https://api.github.com/repos/AnalyticalGraphicsInc/cesium,13505,cesium,An open-source JavaScript library for world-class 3D globes and maps :earth_americas:,JavaScript,2012-03-02 22:27:14,,f,2019-05-31 06:31:05,
58572,https://api.github.com/repos/hypothesis/h,144358,h,"Annotate with anyone, anywhere.",Python,2012-04-02 19:56:59,,f,2019-05-29 12:19:23,
12143760,https://api.github.com/repos/realm/realm-java,1279090,realm-java,Realm is a mobile database: a replacement for SQLite & ORMs,Java,2012-04-20 09:18:42,,f,2019-05-31 13:57:46,
8948476,https://api.github.com/repos/Azure/azure-sdk-for-python,3681780,azure-sdk-for-python,Microsoft Azure SDK for Python,Python,2012-04-24 16:46:12,,f,2019-05-31 15:23:57,
16306424,https://api.github.com/repos/enonic/xp,64757,xp,Enonic XP,Java,2012-04-26 12:06:41,,f,2019-05-31 13:15:22,
67025305,https://api.github.com/repos/scalableminds/webknossos,806579,webknossos,An online annotation tool for distributed large-scale 3-D data analysis in connectomics,JavaScript,2012-05-14 16:26:17,,f,2019-05-29 09:41:29,
1808,https://api.github.com/repos/candlepin/subscription-manager,9548,subscription-manager,A GUI and CLI client for Candlepin,Python,2012-05-17 16:13:30,,f,2019-05-30 17:51:57,
15157,https://api.github.com/repos/sharetribe/sharetribe,53901,sharetribe,Open source marketplace platform,Ruby,2012-05-25 15:34:17,,f,2019-05-31 07:01:28,
2396,https://api.github.com/repos/candlepin/candlepin,9548,candlepin,The Candlepin entitlement engine,Java,2012-06-07 14:58:35,,f,2019-05-31 18:55:11,
1342853,https://api.github.com/repos/travis-ci/travis-web,6691,travis-web,The Ember web client for Travis CI,JavaScript,2012-06-17 16:30:56,,f,2019-05-31 11:10:08,
4524570,https://api.github.com/repos/CartoDB/cartodb,90481,cartodb,Location Intelligence & Data Visualization tool,Ruby,2012-07-05 15:23:45,,f,2019-05-31 11:42:06,
2822,https://api.github.com/repos/halide/Halide,13493,Halide,a language for image processing and computational photography,C++,2012-07-31 04:05:25,,f,2019-05-31 13:40:06,
34957,https://api.github.com/repos/PX4/Firmware,53888,Firmware,PX4 Pro Autopilot Software,C++,2012-08-04 21:19:36,,f,2019-05-31 13:38:50,
1360482,https://api.github.com/repos/Wikia/app,616093,app,Wikia Application Code,PHP,2012-08-23 20:55:58,,f,2019-05-31 09:49:59,
524804,https://api.github.com/repos/owncloud/core,251852,core,":cloud: ownCloud web server core (Files, DAV, etc.)",PHP,2012-08-25 10:32:48,,f,2019-05-31 13:52:11,
691908,https://api.github.com/repos/SonarSource/sonar-java,36234,sonar-java,:coffee: SonarQube Java language plugin,Java,2012-09-04 15:53:13,,f,2019-05-30 00:51:36,
5064429,https://api.github.com/repos/couchbase/sync_gateway,32855,sync_gateway,Connects Couchbase Lite to Couchbase Server,Go,2012-10-04 22:25:43,,f,2019-05-31 05:16:02,
1481661,https://api.github.com/repos/researchstudio-sat/webofneeds,263785,webofneeds,A distributed marketplace driven by customer needs,Java,2012-10-10 08:08:56,,f,2019-05-28 16:33:55,
1417117,https://api.github.com/repos/Wikia/selenium-tests,616093,selenium-tests,,Java,2012-10-18 08:06:11,,f,2019-05-31 04:22:10,
52012068,https://api.github.com/repos/vaadin/framework,259930,framework,"Vaadin is a Java framework for building modern web applications that look great, perform well and make you and your users happy.",Java,2012-10-19 10:41:30,,f,2019-05-31 14:48:19,
1432107,https://api.github.com/repos/haiwen/seahub,120930,seahub,The web end of seafile server.,JavaScript,2012-11-06 05:07:24,,f,2019-05-31 03:14:24,
4804053,https://api.github.com/repos/Yoast/wordpress-seo,654836,wordpress-seo,Yoast SEO for WordPress,PHP,2012-11-16 15:16:29,,f,2019-05-31 07:14:10,
1545591,https://api.github.com/repos/opf/openproject,1086289,openproject,OpenProject is a web-based project management system built on Ruby on Rails,Ruby,2012-11-28 09:59:11,,f,2019-05-31 19:14:14,
2423838,https://api.github.com/repos/ENCODE-DCC/encoded,1389654,encoded,Metadata database for ENCODE 3,Python,2012-12-07 00:52:21,,f,2019-05-31 19:41:21,
1803672,https://api.github.com/repos/mulesoft/mule,7037,mule,Mule Community Edition,Java,2012-12-07 19:23:06,,f,2019-05-31 17:08:41,
6017108,https://api.github.com/repos/UM-USElab/gradecraft-development,2792548,gradecraft-development,"GradeCraft is a gameful learning management system, intended to help motivate students to be more engaged in their own learning.",Ruby,2013-02-09 03:44:54,,f,2019-05-31 15:38:26,
22079349,https://api.github.com/repos/MediaBrowser/Emby,1576068,Emby,Emby Server is a home media server built using other popular open source technologies.,C#,2013-02-16 04:40:34,,f,2019-05-29 22:54:00,
18914789,https://api.github.com/repos/mozilla/treeherder,1146,treeherder,Dashboard & service for managing CI data for Mozilla projects,Python,2013-02-27 19:17:37,,f,2019-05-31 16:24:29,
2914062,https://api.github.com/repos/ORCID/ORCID-Source,519913,ORCID-Source,ORCID Open Source Project,Java,2013-02-28 17:57:01,,f,2019-05-31 14:46:30,
41419541,https://api.github.com/repos/splicemachine/spliceengine,2391379,spliceengine,The SpliceSQL Engine,Java,2013-03-05 15:07:56,,f,2019-05-31 17:21:56,
809314,https://api.github.com/repos/freenas/freenas,284716,freenas,FreeNAS Git Repository,Python,2013-03-07 13:23:20,,f,2019-05-31 04:28:55,
11226972,https://api.github.com/repos/mapbox/mapbox-gl-js,29218,mapbox-gl-js,Render Mapbox styles in the browser using JavaScript and WebGL,JavaScript,2013-03-07 14:45:24,,f,2019-05-31 04:21:36,
321869,https://api.github.com/repos/wordpress-mobile/WordPress-iOS,495047,WordPress-iOS,WordPress for iOS - Official repository,Objective-C,2013-03-18 16:59:33,,f,2019-05-31 14:34:34,
3235795,https://api.github.com/repos/centreon/centreon,1373930,centreon,"Centreon is a network, system, applicative supervision and monitoring tool",PHP,2013-03-28 10:24:33,,f,2019-05-31 12:13:10,
6278588,https://api.github.com/repos/pypa/warehouse,64110,warehouse,Next Generation Python Package Repository,Python,2013-03-30 19:03:53,,f,2019-05-31 19:07:14,
8407619,https://api.github.com/repos/crate/crate,791693,crate,"Crate.IO: The fast, scalable, easy to use SQL database with native full text search",Java,2013-04-10 09:17:16,,f,2019-05-31 09:46:08,
3318537,https://api.github.com/repos/OpenNMS/opennms,1837577,opennms,"",Java,2013-04-11 18:22:33,,f,2019-05-31 13:36:28,
34452887,https://api.github.com/repos/electron/electron,3582041,electron,Build cross platform desktop apps with web technologies,C++,2013-04-12 01:47:36,,f,2019-05-31 10:56:28,
3290625,https://api.github.com/repos/edx/configuration,288514,configuration,"a simple, but flexible, way for anyone to stand up an instance of the edX platform that is fully configured and ready-to-go",Python,2013-04-16 17:23:42,,f,2019-05-31 13:55:40,
4687903,https://api.github.com/repos/4teamwork/opengever.core,8458,opengever.core,OneGov GEVER core package,Python,2013-05-01 08:28:16,,f,2019-05-29 08:24:37,
3922354,https://api.github.com/repos/zenoss/zenoss-prodbin,200001,zenoss-prodbin,Zenoss - zenoss-prodbin module,Python,2013-05-30 18:36:05,,f,2019-05-31 19:01:38,
3929178,https://api.github.com/repos/edx/edx-platform,288514,edx-platform,"The Open edX platform, the software that powers edX!",Python,2013-05-30 20:20:38,,f,2019-05-31 08:21:32,
3936890,https://api.github.com/repos/geoadmin/mf-geoadmin3,1665671,mf-geoadmin3,map.geo.admin.ch source code,JavaScript,2013-05-31 06:37:20,,f,2019-05-29 06:20:12,
3936090,https://api.github.com/repos/geoadmin/mf-chsdi3,1665671,mf-chsdi3,api3.geo.admin.ch source code. ,JavaScript,2013-05-31 06:59:44,,f,2019-05-29 08:49:01,
4030126,https://api.github.com/repos/umbraco/Umbraco-CMS,146686,Umbraco-CMS,"The simple, flexible and friendly ASP.NET CMS used by more than 225.000 websites",C#,2013-06-10 13:50:46,,f,2019-05-31 07:47:53,
5216326,https://api.github.com/repos/mesosphere/marathon,2207728,marathon,Deploy and manage containers (including Docker) on top of Apache Mesos at scale.,Scala,2013-06-25 14:56:34,,f,2019-05-31 04:13:05,
7332776,https://api.github.com/repos/eslint/eslint,3197030,eslint,A fully pluggable tool for identifying and reporting on patterns in JavaScript.,JavaScript,2013-06-29 23:59:48,,f,2019-05-31 22:59:34,
4456243,https://api.github.com/repos/kaltura/server,86801,server,The official Kaltura server. ,PHP,2013-07-12 08:59:26,,f,2019-05-30 12:58:27,
37314162,https://api.github.com/repos/openopps/openopps-platform,13364258,openopps-platform,Open Opportunities open source platform,JavaScript,2013-07-16 15:11:10,,f,2019-05-31 14:19:05,
6601601,https://api.github.com/repos/Particular/docs.particular.net,2382188,docs.particular.net,Contains all the content for the Particular documentation site,C#,2013-07-28 23:18:15,,f,2019-05-31 16:16:38,
6422123,https://api.github.com/repos/mozilla/fxa-content-server,1146,fxa-content-server,Firefox Accounts Content Server,JavaScript,2013-07-30 23:35:35,,f,2019-05-31 06:54:17,
4834743,https://api.github.com/repos/girder/girder,2382340,girder,A data management platform for the web,Python,2013-08-02 23:55:54,,f,2019-05-30 16:48:16,
10883844,https://api.github.com/repos/control-center/serviced,4631082,serviced,"Serviced is a PaaS runtime. It allows users to create, manage and scale services in a uniform way.",Go,2013-08-06 16:45:00,,f,2019-05-29 10:01:45,
34896252,https://api.github.com/repos/home-assistant/home-assistant,11394549,home-assistant,:house_with_garden: :bulb: Open-source home automation platform running on Python 3,Python,2013-09-17 07:29:48,,f,2019-05-31 08:47:40,
30508301,https://api.github.com/repos/influxdata/influxdb,10954408,influxdb,"Scalable datastore for metrics, events, and real-time analytics",Go,2013-09-26 14:31:10,,f,2019-05-31 09:46:46,
514257,https://api.github.com/repos/onepercentclub/bluebottle,135225,bluebottle,Bluebottle,Python,2013-09-27 12:09:13,,f,2019-05-31 09:12:23,
19343057,https://api.github.com/repos/wikimedia/wikipedia-ios,4693,wikipedia-ios,The official Wikipedia iOS app.,Objective-C,2013-10-25 14:36:56,,f,2019-05-30 21:05:06,
6191845,https://api.github.com/repos/SemanticMediaWiki/SemanticMediaWiki,283146,SemanticMediaWiki,"Semantic MediaWiki is a project for extending MediaWiki with ""semantic"" functions that enable machine-reading of wiki-content.",PHP,2013-11-02 01:38:36,,f,2019-05-31 17:54:22,
9238699,https://api.github.com/repos/hashicorp/consul,1085418,consul,"Consul is a tool for service discovery, monitoring and configuration.",Go,2013-11-04 22:15:27,,f,2019-05-31 03:48:16,
16286325,https://api.github.com/repos/deeplearning4j/deeplearning4j,6992169,deeplearning4j,"Deep Learning for Java, Scala & Clojure on Hadoop, Spark & GPUs",Java,2013-11-27 02:03:28,,f,2019-05-31 22:05:34,
6699387,https://api.github.com/repos/opentx/opentx,3017154,opentx,OpenTX custom firmware for Transmitters,C++,2013-11-29 07:02:56,,f,2019-05-30 19:50:20,
9527814,https://api.github.com/repos/grafana/grafana,3879989,grafana,"Gorgeous metric viz, dashboards & editors for Graphite, InfluxDB & OpenTSDB",Go,2013-12-11 15:59:56,,f,2019-05-31 08:30:46,
6965976,https://api.github.com/repos/Automattic/jetpack,25694,Jetpack,"Your WordPress, streamlined.",PHP,2013-12-16 16:43:01,,f,2019-05-31 22:01:00,
37434686,https://api.github.com/repos/Submitty/Submitty,13401959,Submitty,A suite of UX and autograding changes to the homework server used at RPI.,PHP,2014-01-25 17:43:57,,f,2019-05-31 17:10:31,
10039226,https://api.github.com/repos/mapbox/mapbox-gl-native,29218,mapbox-gl-native,"Render Mapbox styles in mobile, desktop, and node applications using C++ and OpenGL",C++,2014-01-27 17:14:48,,f,2019-05-30 23:43:33,
7701652,https://api.github.com/repos/moderntribe/the-events-calendar,851579,the-events-calendar,The Events Calendar WordPress plugin by Modern Tribe,PHP,2014-01-30 02:17:01,,f,2019-05-31 04:21:12,
7688161,https://api.github.com/repos/Charcoal-SE/SmokeDetector,3274905,SmokeDetector,Headless chatbot that detects spam and posts links to it to chatrooms for quick deletion.,Python,2014-01-30 20:29:37,,f,2019-05-31 04:01:25,
31851528,https://api.github.com/repos/mozilla/addons-server,1146,addons-server,"addons.mozilla.org, reloaded.",Python,2014-01-31 18:44:15,,f,2019-05-31 10:40:45,
8555472,https://api.github.com/repos/openaddresses/openaddresses,3566404,openaddresses,A repository of address data.,JavaScript,2014-02-06 21:29:20,,f,2019-05-30 20:58:59,
8252965,https://api.github.com/repos/OCHA-DAP/hdx-ckan,2327597,hdx-ckan,A repo for HDX's configurations and extensions to CKAN,Python,2014-02-11 15:35:04,,f,2019-05-30 07:27:06,
8496162,https://api.github.com/repos/IgniteUI/igniteui-angular,2710135,igniteui-angular,Ignite UI directives for AngularJS,JavaScript,2014-02-26 14:33:56,,f,2019-05-31 07:36:48,
20337473,https://api.github.com/repos/h2oai/h2o-3,6099604,h2o-3,"Fast Scalable Machine Learning API For Smarter Applications (Deep Learning, GBM, GLM...)",Java,2014-03-03 16:08:07,,f,2019-05-31 11:52:36,
8335053,https://api.github.com/repos/ceph/ceph-ansible,22729,ceph-ansible,Ansible playbooks for Ceph,Python,2014-03-03 17:12:09,,f,2019-05-31 15:39:49,
11065419,https://api.github.com/repos/hashicorp/terraform,1085418,terraform,"Terraform is a tool for building, changing, and combining infrastructure safely and efficiently.",Go,2014-03-13 22:25:48,,f,2019-05-31 18:02:20,
17994920,https://api.github.com/repos/HGustavs/LenaSYS,3595244,LenaSYS,Code Viewer and Course Organization System used in some courses at University of Skövde,JavaScript,2014-03-17 18:58:39,,f,2019-05-30 05:21:28,
8985694,https://api.github.com/repos/cloudify-cosmo/cloudify-manager,3681432,cloudify-manager,Cloudify's manager related code,Python,2014-04-01 11:06:47,,f,2019-05-31 04:23:45,
9302037,https://api.github.com/repos/cfpb/cfgov-refresh,372784,cfgov-refresh,In-progress redesign of the consumerfinance.gov website.,Python,2014-04-16 19:22:03,,f,2019-05-31 17:44:30,
9666448,https://api.github.com/repos/NuGet/NuGet.Client,35145,NuGet.Client,Core client libraries for NuGet Services,C#,2014-04-30 23:46:11,,f,2019-05-31 20:51:16,
69287454,https://api.github.com/repos/hortonworks/cloudbreak,505272,cloudbreak,Cloudbreak is a cloud agnostic Hadoop as a Service API.,Java,2014-05-10 10:03:07,,f,2019-05-31 08:31:59,
9891322,https://api.github.com/repos/tendermint/tendermint,3944255,tendermint,Tendermint in Go,Go,2014-05-14 23:21:35,,f,2019-05-30 17:37:39,
9859646,https://api.github.com/repos/zendesk/samson,67101,samson,Web interface for deployments,Ruby,2014-05-27 05:55:57,,f,2019-05-29 19:40:38,
9833946,https://api.github.com/repos/camptocamp/ngeo,6270,ngeo,Library combining OpenLayers 3 and AngularJS,JavaScript,2014-05-27 08:34:54,,f,2019-05-31 18:59:15,
10060852,https://api.github.com/repos/ccnmtl/dmt,224557,dmt,django port of our PMT,Python,2014-06-05 19:24:31,,f,2019-05-31 15:31:04,
10941284,https://api.github.com/repos/Microsoft/TypeScript,3886902,TypeScript,TypeScript is a superset of JavaScript that compiles to clean JavaScript output.,TypeScript,2014-06-17 15:28:39,,f,2019-05-31 09:48:18,
10435619,https://api.github.com/repos/Talend/tcommon-studio-se,346764,tcommon-studio-se,,Java,2014-06-22 04:07:18,,f,2019-05-31 10:23:32,
11598286,https://api.github.com/repos/Talend/tdi-studio-se,346764,tdi-studio-se,,Java,2014-06-22 10:10:03,,f,2019-05-31 07:31:26,
18162315,https://api.github.com/repos/ipfs/go-ipfs,7338375,go-ipfs,IPFS implementation in go,Go,2014-06-26 08:14:34,,f,2019-05-31 05:55:20,
10507922,https://api.github.com/repos/oat-sa/tao-core,4434368,tao-core,main extension of TAO,JavaScript,2014-06-27 13:54:01,,f,2019-05-31 15:05:19,
10542250,https://api.github.com/repos/NativeScript/nativescript-cli,4265635,nativescript-cli,Command-line interface for building NativeScript apps,TypeScript,2014-06-30 10:21:20,,f,2019-05-31 12:33:42,
85826024,https://api.github.com/repos/dimagi/commcare-cloud,26413,commcare-cloud,,Python,2014-07-21 18:04:26,,f,2019-05-31 17:41:45,
10958281,https://api.github.com/repos/oat-sa/extension-tao-testqti,4434368,extension-tao-testqti,Extension to create QTI tests into TAO,PHP,2014-07-22 16:55:35,,f,2019-05-31 09:06:04,
11793080,https://api.github.com/repos/caskdata/cdap,5116511,cdap,Cask Data Application Platform (CDAP),Java,2014-08-02 09:00:10,,f,2019-05-08 18:02:00,
11186411,https://api.github.com/repos/sparc-request/sparc-request,4767071,sparc-request,"",Ruby,2014-08-04 15:47:11,,f,2019-05-28 18:44:47,
11721331,https://api.github.com/repos/matrix-org/synapse,5084100,synapse,Synapse: Matrix reference homeserver,Python,2014-08-11 15:51:42,,f,2019-05-31 08:12:14,
19414858,https://api.github.com/repos/Azure/azure-sdk-for-go,3681780,azure-sdk-for-go,Microsoft Azure SDK for Go,Go,2014-08-11 21:18:43,,f,2019-05-31 15:25:40,
11374146,https://api.github.com/repos/jeff1evesque/machine-learning,1155687,machine-learning,"Web-interface, and programmatic API for Support Vector Machines",Python,2014-08-13 16:50:18,,f,2019-05-28 08:30:46,
16301652,https://api.github.com/repos/deeplearning4j/nd4j,6992169,nd4j,Scientific Computing for the JVM (NDArrays),Java,2014-08-31 03:47:00,,f,2019-05-28 08:08:14,
21992444,https://api.github.com/repos/pachyderm/pachyderm,6640604,pachyderm,Containerized Data Analytics,Go,2014-09-04 07:50:02,,f,2019-05-31 22:24:46,
11703554,https://api.github.com/repos/code-dot-org/code-dot-org,2453400,code-dot-org,The code powering code.org and studio.code.org,JavaScript,2014-09-20 00:46:11,,f,2019-05-31 22:28:16,
46494877,https://api.github.com/repos/mozilla-mobile/firefox-ios,31192785,firefox-ios,Firefox for iOS,C,2014-11-03 19:07:02,,f,2019-05-31 07:44:45,
32065951,https://api.github.com/repos/Talend/data-prep,346764,data-prep,OS code of Data-prep project,JavaScript,2014-11-14 15:32:38,,f,2019-05-27 16:09:55,
13666930,https://api.github.com/repos/crdschurch/crds-angular,1699932,crds-angular,Starting point for angular development at crossroads,C#,2014-11-19 16:21:09,,f,2019-05-31 19:34:50,
24926207,https://api.github.com/repos/vega/vega-lite,7639160,vega-lite,"A high-level grammar for visual analysis, built on top of Vega.",TypeScript,2014-11-20 20:52:04,,f,2019-05-31 20:15:13,
13564378,https://api.github.com/repos/uw-it-aca/myuw,1672358,myuw,"",Python,2014-11-26 19:23:15,,f,2019-05-20 18:28:00,
28032966,https://api.github.com/repos/fastlane/fastlane,7475195,fastlane,Connect all iOS deployment tools into one streamlined workflow,Ruby,2014-12-02 17:00:38,,f,2019-05-31 01:42:17,
27321561,https://api.github.com/repos/broadinstitute/gatk,2076,gatk,GATK4 development,Java,2014-12-02 20:50:36,,f,2019-05-31 04:19:27,
54428048,https://api.github.com/repos/batfish/batfish,33371699,batfish,"Batfish is a network configuration analysis tool that can find bugs and guarantee the correctness of (planned or current) network configurations. It enables network engineers to rapidly and safely evolve their network, without fear of outages or security ",Java,2014-12-03 21:10:18,,f,2019-05-31 17:31:42,
16273814,https://api.github.com/repos/aspnet/Docs,3461168,Docs,Documentation for ASP.NET 5,C#,2014-12-19 17:38:02,,f,2019-05-27 23:39:34,
15059440,https://api.github.com/repos/letsencrypt/boulder,6079335,boulder,"An ACME-based CA, written in Go.",Go,2014-12-21 00:29:54,,f,2019-05-31 04:28:00,
14520096,https://api.github.com/repos/dchbx/enroll,2064332,enroll,An ACA-compliant enrollment system for individual and SHOP markets,Ruby,2014-12-26 18:59:14,,f,2019-05-31 14:44:25,
18581779,https://api.github.com/repos/acemod/ACE3,7705747,ACE3,Open-source realism mod for Arma 3,C++,2015-01-10 19:59:12,,f,2019-05-31 14:37:41,
15022227,https://api.github.com/repos/dotnet/roslyn,6093870,roslyn,"The .NET Compiler Platform (""Roslyn"") provides open-source C# and Visual Basic compilers with rich code analysis APIs.",C#,2015-01-11 02:39:03,,f,2019-05-31 14:47:32,
11142691,https://api.github.com/repos/syuilo/Misskey,2240543,Misskey,A chillout SNS.,JavaScript,2015-01-18 08:17:29,,f,2019-05-31 12:40:30,
17329677,https://api.github.com/repos/edx/ecommerce,288514,ecommerce,Django application used to manage edX's product catalog and handle orders for those products,Python,2015-02-02 06:55:15,,f,2019-05-31 13:58:14,
13525648,https://api.github.com/repos/AugurProject/augur,6116624,augur,Augur client,JavaScript,2015-02-02 20:56:19,,f,2019-05-31 08:41:21,
19388130,https://api.github.com/repos/hashicorp/vault,1085418,vault,A tool for managing secrets.,JavaScript,2015-02-25 00:15:59,,f,2019-05-31 19:38:19,
16922941,https://api.github.com/repos/NativeScript/NativeScript,4265635,NativeScript,Build truly native cross-platform iOS and Android apps with JavaScript,TypeScript,2015-03-01 09:47:08,,f,2019-05-31 05:45:38,
19611001,https://api.github.com/repos/kontena/kontena,7210859,kontena,"Container platform built to maximize developer happiness. Works on any cloud, easy to setup, simple to use.",Ruby,2015-03-22 18:52:32,,f,2019-05-31 05:39:26,
24203553,https://api.github.com/repos/eclipse/che,16450,che,Eclipse Che: Next-generation Eclipse IDE.  Open source workspace server and cloud IDE.,Java,2015-03-26 15:31:01,,f,2019-05-30 19:04:04,
19660635,https://api.github.com/repos/broadinstitute/cromwell,2076,cromwell,Workflow Execution Engine using WDL,Scala,2015-04-17 19:39:36,,f,2019-05-31 15:12:40,
19224064,https://api.github.com/repos/Yakindu/statecharts,7888432,statecharts,Yakindu Statechart Tools (http://www.statecharts.org),Java,2015-04-24 13:33:27,,f,2019-05-28 16:59:11,
20170979,https://api.github.com/repos/everypolitician/everypolitician-data,8174585,everypolitician-data,"",Ruby,2015-04-28 11:10:07,,f,2019-05-31 21:21:59,
76259902,https://api.github.com/repos/vaadin/flow,259930,flow,Flow - fast and furious,Java,2015-04-29 17:54:35,,f,2019-05-31 07:02:02,
