project__name,tw_size,tw_quantity,tw_with_pc_percentage,tw_improves_cr_quantity,tw_equal_cr_quantity,tw_improves_ipe_quantity,tw_equal_ipe_quantity,tw_worsen_ipe_quantity,cr_improvement_percentage_min,cr_improvement_percentage_mean,cr_improvement_percentage_std,cr_improvement_percentage_max,ipe_improvement_percentage_min,ipe_improvement_percentage_mean,ipe_improvement_percentage_std,ipe_improvement_percentage_max
sentry,7,457,2.63,2,10,11,1,0,0.00,12.50,31.08,100.00,0.00,146.04,132.32,500.00
sentry,14,229,6.11,4,10,14,0,0,0.00,28.57,46.88,100.00,25.00,251.74,289.78,1100.00
sentry,28,115,11.30,6,7,13,0,0,0.00,53.85,66.02,200.00,15.07,277.91,261.02,800.00
sentry,60,54,18.52,4,6,10,0,0,0.00,80.00,113.53,300.00,5.41,272.09,411.68,1300.00
sentry,90,36,25.00,4,5,9,0,0,0.00,111.11,169.15,400.00,16.67,76.70,50.36,167.14
jQuery-File-Upload,7,435,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
jQuery-File-Upload,14,218,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
jQuery-File-Upload,28,109,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
jQuery-File-Upload,60,51,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
jQuery-File-Upload,90,34,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
rstudio,7,383,4.44,8,9,14,3,0,0.00,88.24,145.27,500.00,0.00,125.31,133.34,400.00
rstudio,14,192,9.38,10,8,18,0,0,0.00,100.00,141.42,500.00,5.26,250.35,209.97,725.00
rstudio,28,96,15.63,11,4,15,0,0,0.00,140.00,159.46,500.00,8.20,245.67,366.75,1300.00
rstudio,60,45,26.67,10,2,12,0,0,0.00,208.33,206.52,700.00,7.87,391.13,450.37,1132.43
rstudio,90,30,36.67,9,2,11,0,0,0.00,227.27,210.19,700.00,3.64,270.94,536.45,1864.91
sonarqube,7,270,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
sonarqube,14,135,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
sonarqube,28,68,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
sonarqube,60,32,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
sonarqube,90,21,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
libvips,7,393,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
libvips,14,197,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
libvips,28,99,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
libvips,60,46,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
libvips,90,31,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
nucore-open,7,326,0.31,0,1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
nucore-open,14,163,0.61,0,1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
nucore-open,28,82,1.22,0,1,1,0,0,0.00,0.00,0.00,0.00,166.67,166.67,0.00,166.67
nucore-open,60,38,2.63,0,1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
nucore-open,90,26,3.85,0,1,1,0,0,0.00,0.00,0.00,0.00,37.50,37.50,0.00,37.50
jline2,7,393,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
jline2,14,197,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
jline2,28,99,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
jline2,60,46,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
jline2,90,31,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
pupesoft,7,405,8.89,21,15,34,2,0,0.00,134.26,177.73,800.00,0.00,78.96,95.73,400.00
pupesoft,14,203,14.29,22,7,26,0,3,0.00,206.90,216.60,800.00,-24.09,132.39,169.39,700.00
pupesoft,28,102,23.53,18,6,20,0,4,0.00,267.36,281.49,900.00,-28.00,228.75,328.37,1250.00
pupesoft,60,48,33.33,12,4,15,0,1,0.00,328.13,324.25,900.00,-11.07,206.15,310.58,1085.71
pupesoft,90,32,37.50,10,2,12,0,0,0.00,449.31,443.14,1266.67,5.81,282.28,649.13,2333.33
julia,7,392,6.63,13,13,23,2,1,0.00,73.08,87.44,300.00,-0.59,90.90,129.34,566.67
julia,14,196,11.73,15,8,23,0,0,0.00,106.52,109.03,300.00,2.33,125.43,171.00,725.00
julia,28,98,21.43,13,8,21,0,0,0.00,109.52,127.10,400.00,4.25,148.94,169.65,738.55
julia,60,46,32.61,10,5,15,0,0,0.00,186.67,195.91,600.00,8.62,63.63,53.52,210.34
julia,90,31,41.94,10,3,13,0,0,0.00,253.85,241.06,700.00,9.67,181.76,252.19,737.58
repose,7,406,3.20,2,11,12,1,0,0.00,15.38,37.55,100.00,0.00,165.10,152.45,400.00
repose,14,203,6.90,4,10,14,0,0,0.00,35.71,63.33,200.00,20.00,150.05,161.45,533.33
repose,28,102,12.75,5,8,13,0,0,0.00,53.85,77.63,200.00,8.33,140.28,188.69,662.22
repose,60,48,22.92,7,4,11,0,0,0.00,81.82,78.33,200.00,11.36,77.28,103.29,377.91
repose,90,32,31.25,7,3,10,0,0,0.00,110.00,122.02,400.00,77.78,255.68,279.45,882.98
woocommerce,7,140,44.29,48,14,61,1,0,0.00,256.45,259.39,1100.00,0.00,111.20,127.58,592.31
woocommerce,14,70,64.29,36,9,42,1,2,0.00,346.07,312.39,1366.67,-20.71,122.96,142.70,642.86
woocommerce,28,35,85.71,27,3,30,0,0,0.00,506.44,416.35,1500.00,2.55,131.15,205.84,958.82
woocommerce,60,17,100.00,16,1,17,0,0,0.00,755.39,548.90,2116.67,5.09,79.88,69.79,238.89
woocommerce,90,11,100.00,11,0,11,0,0,150.00,1065.15,707.51,2433.33,9.42,84.48,97.73,353.23
NuGetGallery,7,403,2.98,1,11,8,4,0,0.00,16.67,57.74,200.00,0.00,56.11,105.42,350.00
NuGetGallery,14,202,5.94,4,8,11,1,0,0.00,37.50,64.40,200.00,0.00,60.40,56.48,188.89
NuGetGallery,28,101,10.89,4,7,10,1,0,0.00,50.00,92.20,300.00,0.00,76.30,90.17,288.89
NuGetGallery,60,48,14.58,6,1,7,0,0,0.00,157.14,113.39,300.00,40.35,81.44,37.84,141.27
NuGetGallery,90,32,15.63,4,1,5,0,0,0.00,250.00,173.21,400.00,42.86,81.01,65.42,195.86
ceph,7,397,1.76,3,4,7,0,0,0.00,185.71,247.85,600.00,5.48,80.99,52.13,142.11
ceph,14,199,3.02,3,3,6,0,0,0.00,250.00,432.43,1100.00,4.41,147.79,249.10,650.00
ceph,28,100,7.00,5,2,7,0,0,0.00,671.43,765.32,1900.00,2.59,91.34,80.13,243.43
ceph,60,47,12.77,4,2,6,0,0,0.00,683.33,908.66,2200.00,13.82,146.00,214.10,577.78
ceph,90,31,19.35,4,2,6,0,0,0.00,933.33,983.19,2400.00,103.13,427.34,362.94,920.97
wp-cli,7,401,4.49,4,14,11,7,0,0.00,25.00,54.91,200.00,0.00,110.56,166.13,566.67
wp-cli,14,201,8.96,4,14,15,3,0,0.00,25.00,54.91,200.00,0.00,128.49,173.72,700.00
wp-cli,28,101,17.82,4,14,16,2,0,0.00,25.00,54.91,200.00,0.00,274.04,392.53,1200.00
wp-cli,60,47,31.91,7,8,15,0,0,0.00,63.33,76.69,200.00,4.23,239.44,518.60,1833.33
wp-cli,90,32,46.88,9,6,15,0,0,0.00,83.33,79.43,200.00,13.21,92.75,74.61,238.46
voltdb,7,401,9.23,20,17,33,4,0,0.00,79.73,86.17,300.00,0.00,77.16,86.54,333.33
voltdb,14,201,15.92,19,13,31,1,0,0.00,131.25,155.41,500.00,0.00,121.99,171.35,866.67
voltdb,28,101,26.73,17,10,27,0,0,0.00,164.81,199.91,700.00,2.94,157.83,188.93,668.29
voltdb,60,47,36.17,11,6,17,0,0,0.00,297.06,383.43,1400.00,14.49,140.27,131.46,445.45
voltdb,90,32,40.63,9,4,12,1,0,0.00,430.77,529.36,1800.00,0.00,115.85,125.37,506.91
mantid,7,319,26.33,73,11,78,4,2,0.00,367.66,305.21,1400.00,-9.88,64.76,120.40,800.00
mantid,14,160,33.13,50,3,51,1,1,0.00,605.88,378.65,1500.00,-13.50,58.36,67.49,341.21
mantid,28,80,41.25,31,2,32,1,0,0.00,1031.31,732.56,3400.00,0.00,75.79,153.25,909.34
mantid,60,38,52.63,19,1,19,0,1,0.00,1460.02,729.35,2900.00,-4.82,64.49,54.85,214.81
mantid,90,25,56.00,13,1,14,0,0,0.00,2064.94,1011.50,3566.67,16.24,91.66,93.63,325.13
arangodb,7,199,1.51,0,3,3,0,0,0.00,0.00,0.00,0.00,27.27,104.08,93.15,207.69
arangodb,14,100,3.00,0,3,3,0,0,0.00,0.00,0.00,0.00,8.41,23.68,17.55,42.86
arangodb,28,50,4.00,1,1,2,0,0,0.00,50.00,70.71,100.00,18.37,29.83,16.21,41.29
arangodb,60,24,12.50,0,3,3,0,0,0.00,0.00,0.00,0.00,9.35,252.97,382.26,693.55
arangodb,90,16,12.50,1,1,2,0,0,0.00,50.00,70.71,100.00,87.64,675.27,831.03,1262.90
loomio,7,392,3.57,4,10,10,4,0,0.00,67.86,148.85,500.00,0.00,43.29,58.15,166.67
loomio,14,196,5.61,6,5,10,1,0,0.00,100.00,159.69,500.00,0.00,71.91,68.37,200.00
loomio,28,98,10.20,6,4,10,0,0,0.00,145.00,248.83,800.00,2.22,95.09,117.16,361.90
loomio,60,46,23.91,4,7,11,0,0,0.00,113.64,177.61,500.00,2.82,241.95,617.07,2100.00
loomio,90,31,29.03,4,5,9,0,0,0.00,122.22,200.17,600.00,32.08,91.85,61.08,233.33
c2cgeoportal,7,390,0.26,0,1,1,0,0,0.00,0.00,0.00,0.00,500.00,500.00,0.00,500.00
c2cgeoportal,14,195,0.51,0,1,1,0,0,0.00,0.00,0.00,0.00,1033.33,1033.33,0.00,1033.33
c2cgeoportal,28,98,1.02,0,1,1,0,0,0.00,0.00,0.00,0.00,1833.33,1833.33,0.00,1833.33
c2cgeoportal,60,46,2.17,0,1,1,0,0,0.00,0.00,0.00,0.00,11.58,11.58,0.00,11.58
c2cgeoportal,90,31,3.23,0,1,1,0,0,0.00,0.00,0.00,0.00,8.59,8.59,0.00,8.59
brackets,7,391,14.83,48,10,54,3,1,0.00,350.86,323.02,1200.00,-28.36,110.86,231.80,1700.00
brackets,14,196,20.92,34,7,39,2,0,0.00,478.86,396.25,1600.00,0.00,101.24,141.13,850.00
brackets,28,98,26.53,23,3,26,0,0,0.00,691.99,486.50,1900.00,5.33,79.62,85.03,433.33
brackets,60,46,32.61,12,3,14,0,1,0.00,1017.68,968.13,3400.00,-10.00,62.25,44.87,141.48
brackets,90,31,38.71,9,3,12,0,0,0.00,974.41,902.70,2116.67,16.22,58.67,48.52,178.26
wiredtiger,7,376,3.46,2,11,4,8,1,0.00,15.38,37.55,100.00,-9.09,51.83,101.90,300.00
wiredtiger,14,188,6.38,4,8,8,3,1,0.00,29.17,45.02,100.00,-7.41,102.72,124.30,400.00
wiredtiger,28,94,10.64,6,4,8,2,0,0.00,50.00,47.14,100.00,0.00,129.50,180.06,600.00
wiredtiger,60,44,18.18,6,2,8,0,0,0.00,81.25,70.39,200.00,10.29,104.60,103.70,239.56
wiredtiger,90,30,16.67,4,1,5,0,0,0.00,110.00,82.16,200.00,18.85,79.84,89.37,234.29
azure-sdk-for-node,7,270,4.07,7,4,11,0,0,0.00,174.24,195.70,666.67,11.11,120.50,103.20,355.56
azure-sdk-for-node,14,135,6.67,5,4,8,1,0,0.00,188.89,253.14,775.00,0.00,152.95,291.25,900.00
azure-sdk-for-node,28,68,11.76,5,3,7,1,0,0.00,220.63,308.18,940.00,0.00,227.75,524.13,1522.22
azure-sdk-for-node,60,32,18.75,6,0,6,0,0,100.00,376.67,437.34,1260.00,67.19,392.52,543.93,1462.07
azure-sdk-for-node,90,21,23.81,5,0,5,0,0,100.00,460.00,492.95,1300.00,50.69,730.25,1001.51,2481.03
nuxeo,7,323,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
nuxeo,14,162,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
nuxeo,28,81,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
nuxeo,60,38,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
nuxeo,90,26,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
securedrop,7,295,0.34,1,0,1,0,0,100.00,100.00,0.00,100.00,6.67,6.67,0.00,6.67
securedrop,14,148,0.68,1,0,1,0,0,100.00,100.00,0.00,100.00,46.67,46.67,0.00,46.67
securedrop,28,74,1.35,1,0,1,0,0,100.00,100.00,0.00,100.00,166.67,166.67,0.00,166.67
securedrop,60,35,2.86,1,0,1,0,0,100.00,100.00,0.00,100.00,47.37,47.37,0.00,47.37
securedrop,90,23,4.35,1,0,1,0,0,100.00,100.00,0.00,100.00,128.07,128.07,0.00,128.07
mwEmbed,7,374,2.14,2,6,5,3,0,0.00,37.50,74.40,200.00,0.00,21.28,22.56,64.29
mwEmbed,14,187,4.28,2,6,6,2,0,0.00,37.50,74.40,200.00,0.00,41.28,36.70,100.00
mwEmbed,28,94,13.83,3,10,10,3,0,0.00,38.46,76.79,200.00,0.00,77.45,112.09,425.00
mwEmbed,60,44,25.00,3,8,11,0,0,0.00,54.55,103.57,300.00,16.67,91.12,74.54,233.33
mwEmbed,90,30,36.67,3,8,11,0,0,0.00,100.00,268.33,900.00,3.77,79.48,57.34,203.85
KeenClient-iOS,7,295,0.34,1,0,1,0,0,100.00,100.00,0.00,100.00,20.00,20.00,0.00,20.00
KeenClient-iOS,14,148,0.68,1,0,1,0,0,100.00,100.00,0.00,100.00,60.00,60.00,0.00,60.00
KeenClient-iOS,28,74,1.35,1,0,1,0,0,100.00,100.00,0.00,100.00,27.27,27.27,0.00,27.27
KeenClient-iOS,60,35,2.86,1,0,1,0,0,100.00,100.00,0.00,100.00,227.27,227.27,0.00,227.27
KeenClient-iOS,90,23,4.35,1,0,1,0,0,100.00,100.00,0.00,100.00,336.36,336.36,0.00,336.36
cesium,7,371,28.57,47,59,89,13,4,0.00,88.77,134.89,600.00,-13.51,131.59,225.59,1400.00
cesium,14,186,44.62,59,24,78,5,0,0.00,143.94,155.28,800.00,0.00,101.65,123.91,850.00
cesium,28,93,56.99,49,4,53,0,0,0.00,237.76,201.89,1100.00,0.98,77.06,62.18,250.19
cesium,60,44,68.18,27,3,29,0,1,0.00,412.17,275.91,1000.00,-4.03,76.23,93.84,529.63
cesium,90,29,72.41,20,1,21,0,0,0.00,560.58,354.79,1500.00,5.86,64.02,57.17,244.44
td-client-java,7,204,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
td-client-java,14,102,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
td-client-java,28,51,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
td-client-java,60,24,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
td-client-java,90,16,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
portfolio,7,311,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
portfolio,14,156,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
portfolio,28,78,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
portfolio,60,37,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
portfolio,90,25,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
h,7,347,0.86,1,2,2,1,0,0.00,33.33,57.74,100.00,0.00,85.28,123.79,227.27
h,14,174,1.72,1,2,3,0,0,0.00,33.33,57.74,100.00,28.57,127.71,115.51,254.55
h,28,87,3.45,1,2,3,0,0,0.00,33.33,57.74,100.00,16.67,103.48,121.91,242.86
h,60,41,9.76,1,3,4,0,0,0.00,25.00,50.00,100.00,10.00,565.87,786.24,1700.00
h,90,27,14.81,1,3,4,0,0,0.00,25.00,50.00,100.00,10.00,252.28,455.13,934.78
realm-java,7,244,0.82,0,2,2,0,0,0.00,0.00,0.00,0.00,50.00,91.67,58.92,133.33
realm-java,14,122,2.46,0,3,3,0,0,0.00,0.00,0.00,0.00,28.57,241.80,325.67,616.67
realm-java,28,61,6.56,0,4,4,0,0,0.00,0.00,0.00,0.00,7.69,222.96,407.01,833.33
realm-java,60,29,13.79,1,3,4,0,0,0.00,25.00,50.00,100.00,61.11,143.76,122.85,323.53
realm-java,90,19,26.32,1,4,5,0,0,0.00,20.00,44.72,100.00,11.11,44.86,36.52,100.00
azure-sdk-for-python,7,256,1.95,0,5,4,1,0,0.00,0.00,0.00,0.00,0.00,61.33,81.30,200.00
azure-sdk-for-python,14,128,3.91,0,5,4,1,0,0.00,0.00,0.00,0.00,0.00,66.19,119.90,280.00
azure-sdk-for-python,28,64,6.25,1,3,3,1,0,0.00,25.00,50.00,100.00,0.00,91.35,125.42,271.43
azure-sdk-for-python,60,30,13.33,1,3,4,0,0,0.00,25.00,50.00,100.00,41.30,149.49,112.83,300.00
azure-sdk-for-python,90,20,15.00,2,1,3,0,0,0.00,66.67,57.74,100.00,20.88,93.39,69.45,159.30
xp,7,224,11.16,8,17,21,4,0,0.00,40.00,64.55,200.00,0.00,100.59,163.01,700.00
xp,14,112,20.54,9,14,23,0,0,0.00,52.17,79.03,300.00,6.25,247.92,431.66,2000.00
xp,28,56,33.93,9,10,19,0,0,0.00,94.74,122.36,400.00,14.29,141.81,130.65,433.33
xp,60,27,48.15,7,6,13,0,0,0.00,176.92,212.74,700.00,3.23,140.26,267.70,1000.00
xp,90,18,61.11,7,4,11,0,0,0.00,245.45,323.62,1100.00,17.93,209.58,455.52,1575.00
Aixada,7,332,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Aixada,14,166,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Aixada,28,83,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Aixada,60,39,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Aixada,90,26,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
webknossos,7,103,21.36,9,13,18,4,0,0.00,54.55,73.85,200.00,0.00,70.21,73.06,233.33
webknossos,14,52,34.62,11,7,14,3,1,0.00,100.00,101.46,300.00,-19.67,90.98,115.84,440.00
webknossos,28,26,50.00,9,4,12,1,0,0.00,161.54,137.16,400.00,0.00,83.16,60.62,207.88
webknossos,60,12,50.00,5,1,6,0,0,0.00,363.89,224.70,600.00,6.12,70.67,57.87,174.28
webknossos,90,8,62.50,4,1,5,0,0,0.00,453.33,260.72,666.67,46.42,66.14,26.31,111.32
subscription-manager,7,368,2.45,5,4,7,0,2,0.00,55.56,52.70,100.00,-6.67,240.71,411.29,1100.00
subscription-manager,14,184,4.35,5,3,7,0,1,0.00,75.00,70.71,200.00,-28.36,185.71,451.04,1300.00
subscription-manager,28,92,8.70,6,2,8,0,0,0.00,137.50,118.77,300.00,36.00,76.73,33.86,145.45
subscription-manager,60,43,11.63,5,0,5,0,0,100.00,300.00,141.42,400.00,39.50,55.97,17.14,82.28
subscription-manager,90,29,13.79,3,1,4,0,0,0.00,375.00,330.40,700.00,86.47,302.57,344.32,809.47
ruby-sdk,7,364,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ruby-sdk,14,182,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ruby-sdk,28,91,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ruby-sdk,60,43,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ruby-sdk,90,29,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
calendar,7,363,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
calendar,14,182,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
